mat,pat,elas,ext,heel,leg,type,gend,cost
1,1,0.4,0,1,0.5,0,0,0.411771
1,1,0.6,0,1,0.75,0,1,0.49155
1,1,0.8,0,1,1,0,0,0.63945
1,1,0.8,0,1,1,0,0,0.63945
2,1,0.4,0,1,0.5,1,1,0.5742
1,0,0.2,1,1,0.5,0,1,0.522
1,1,0.2,0,1,0.75,0,1,0.6003
1,1,0.2,1,1,0.25,1,1,0.6438
1,1,0.2,1,0,0.25,0,0,0.5655
3,1,0.2,0,1,0.5,1,1,0.684342
1,1,0.4,0,1,0.25,0,0,0.5133
4,1,0.4,0,1,0.75,0,1,0.7482
1,1,0.2,1,1,0.25,0,0,0.5655
5,1,0.4,0,0,0.25,0,0,0.55071
1,1,0.4,0,1,0.5,0,0,0.65076
1,1,0.4,0,1,0.5,0,0,0.63945
1,1,0.4,0,1,0.25,0,0,0.63945
1,0,0.2,1,1,0.5,0,1,0.463971
1,1,0.4,0,1,0.25,1,1,0.52461
1,1,0.4,0,1,0.25,0,0,0.5046
3,1,0.2,0,1,0.5,1,1,0.684342
3,1,0.2,0,1,0.5,1,1,0.585771
3,1,0.2,0,1,0.5,0,1,0.710442
5,1,0.4,0,1,0.5,0,1,0.6351
1,1,1,1,1,0.25,0,0,0.5307
1,1,0.4,0,1,0.75,0,0,0.6612
1,1,1,1,1,0.25,0,0,0.5655
1,1,0.4,0,1,0.75,0,0,0.6612
1,1,0.4,0,1,0.25,0,0,0.5133
1,1,0.4,0,1,0.75,0,1,0.783
3,1,0.2,0,1,0.25,1,1,0.585771
1,1,0.4,0,1,0.75,0,1,0.8352
3,1,0.2,0,1,0.5,0,1,0.733671
1,1,0.4,0,1,0.5,0,1,0.4959
1,1,0.6,0,1,0.75,1,1,0.5307
5,1,0.4,0,1,0.25,0,0,0.5655
1,1,0.4,0,1,0.5,0,0,0.533571
1,1,0.4,0,1,0.25,1,1,0.562542
1,1,0.4,0,1,0.25,1,1,0.522
1,1,0.4,0,1,0.75,0,1,0.6525
1,1,0.6,0,1,0.25,0,0,0.522
1,1,0.6,0,1,0.25,0,0,0.56985
1,1,0.6,0,1,0.5,0,0,0.56985
1,1,0.6,0,1,0.25,0,0,0.6351
1,1,0.6,0,1,0.25,0,0,0.5307
5,1,0.4,0,0,0.25,0,0,0.550971
1,1,0.4,0,1,0.5,0,0,0.56985
1,1,0.4,0,1,0.25,0,0,0.56985
1,1,0.4,0,1,0.5,0,0,0.6525
1,1,0.4,0,1,0.25,0,0,0.5742
1,1,0.2,1,1,0.25,0,0,0.5655
1,1,0.4,0,1,0.25,0,0,0.5655
1,1,0.4,0,1,0.25,0,0,0.5829
1,1,0.4,0,1,0.25,0,0,0.507471
1,1,0.4,0,1,0.25,0,0,0.522
1,1,0.4,0,1,0.25,0,0,0.4959
1,1,0.2,1,0,0.25,0,1,0.3306
1,1,0.2,0,1,0.75,0,1,0.5568
4,1,0.4,0,1,0.75,0,1,0.7482
1,1,0.2,1,0,0.25,0,1,0.3306
1,1,0.2,0,1,0.75,0,1,0.706527
1,1,0.6,0,1,0.5,0,0,0.6351
1,1,0.6,0,1,0.25,0,0,0.56985
1,1,0.6,0,1,0.25,0,0,0.6351
1,1,0.4,0,1,0.5,0,0,0.76125
1,1,0.4,0,1,0.25,0,0,0.553842
3,1,0.2,0,1,0.5,1,1,0.710442
3,1,0.2,0,1,0.25,1,1,0.640842
1,1,1,1,1,0.25,0,0,0.5829
3,1,0.2,0,1,0.25,1,1,0.6699
3,1,0.2,0,1,0.5,1,1,0.742371
1,1,1,1,1,0.25,0,0,0.5829
1,1,0.4,0,1,1,0,0,0.82215
1,1,0.4,0,1,0.25,0,0,0.5742
1,1,0.4,0,1,0.5,0,0,0.6873
1,0,0.2,1,1,0.5,0,1,0.4959
